k,d,time,accuracy,precision,recall,f1,confusion
2,2,4.876894474029541,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
2,3,5.217810392379761,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
2,4,7.093672752380371,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
2,5,9.322506189346312,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
2,6,11.649198293685911,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
2,7,14.334273099899292,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
2,8,18.84369015693665,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
2,9,24.19245171546936,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
2,10,30.47815752029419,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
2,11,45.86050820350647,0.8775212176664398,0.6595744680851063,0.001140166979293,0.0022763988838302,"[[194662     16]
 [ 27158     31]]"
2,12,76.94385004043579,0.8784722378722388,0.7296747967479674,0.0132038692118136,0.0259383692785665,"[[194545    133]
 [ 26830    359]]"
2,13,121.92706894874571,0.8805951313174109,0.7029702970297029,0.0443929530324763,0.0835120736179339,"[[194168    510]
 [ 25982   1207]]"
2,14,217.5963308811188,0.8840837078069294,0.7517973296816158,0.0807679576299238,0.1458651610760544,"[[193953    725]
 [ 24993   2196]]"
2,15,404.9762132167816,0.8871486070483668,0.7501744591765527,0.1186141454264592,0.2048399390243902,"[[193604   1074]
 [ 23964   3225]]"
3,2,4.632889747619629,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
3,3,7.958422422409058,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
3,4,11.0198712348938,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
3,5,14.285287618637083,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
3,6,19.30495548248291,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
3,7,28.531863927841187,0.8776113617617762,0.7464788732394366,0.0019493177387914,0.0038884812912692,"[[194660     18]
 [ 27136     53]]"
3,8,52.19497084617615,0.8798243993022847,0.7509541984732825,0.0289455294420537,0.0557424655593724,"[[194417    261]
 [ 26402    787]]"
3,9,114.14043664932252,0.8855710853799799,0.7579490117444858,0.0973187686196623,0.172490221642764,"[[193833    845]
 [ 24543   2646]]"
3,10,291.3182656764984,0.8893120653364402,0.6996509333738048,0.1695538636948766,0.2729587305346675,"[[192699   1979]
 [ 22579   4610]]"
3,11,776.9900012016296,0.8867835234622544,0.5848638897999344,0.2623487439773437,0.3622191189539164,"[[189615   5063]
 [ 20056   7133]]"
